"Restaurant";"Review_Date";"User_Name";"User_Reviews";"User_Restaurant_Reviews";"User_Helpful_Votes"
"Ritz Restaurant";"10/26/2014";"Andrzej I";9;3;21
"Ritz Restaurant";"10/23/2014";"gregroberts2014";3;3;6
"Ritz Restaurant";"10/15/2014";"write2miriam";3;0;2
"Ritz Restaurant";"10/9/2014";"Maria H";3;0;21
"Ritz Restaurant";"11/18/2015";"Camilla J";8;4;0
"Ritz Restaurant";"11/12/2015";"Agnieszka...";1;0;2
"Ritz Restaurant";"11/12/2015";"Tottolott...";12;6;6
"Ritz Restaurant";"11/12/2015";"Ekaterina...";34;31;12
"Ritz Restaurant";"11/12/2015";"Katarzyna...";16;9;19
"Ritz Restaurant";"11/5/2015";"ceccypia";75;43;26
"Ritz Restaurant";"10/29/2015";"Jenny T";2;0;0
"Ritz Restaurant";"10/29/2015";"irka712";1;0;3
"Ritz Restaurant";"10/29/2015";"Jaroslaw...";18;10;7
"Ritz Restaurant";"10/6/2015";"Wouter B";3;0;6
"Ritz Restaurant";"10/4/2015";"Emilia T";6;0;5
"Ritz Restaurant";"10/1/2015";"agnieszka...";32;25;15
"Ritz Restaurant";"9/30/2015";"Oddleif N";12;7;7
"Ritz Restaurant";"9/29/2015";"Kyrre B";3;3;3
"Ritz Restaurant";"9/29/2015";"Christine...";2;0;4
"Ritz Restaurant";"9/27/2015";"Pawe Z";1;0;3
"Ritz Restaurant";"9/20/2015";"Waldemar...";5;5;9
"Ritz Restaurant";"9/20/2015";"torelars";8;7;1
"Ritz Restaurant";"9/19/2015";"wenchekal...";2;0;2
"Ritz Restaurant";"9/16/2015";"sokrates0...";24;13;15
"Ritz Restaurant";"9/13/2015";"Tatiana S";1;0;4
"Ritz Restaurant";"9/11/2015";"Zofia S";20;14;15
"Ritz Restaurant";"9/10/2015";"Beata B";17;6;4
"Ritz Restaurant";"9/8/2015";"claudiak5...";1;0;2
"Ritz Restaurant";"9/2/2015";"_Vol_84";41;23;4
"Ritz Restaurant";"9/2/2015";"AnnaT63";35;9;21
"Ritz Restaurant";"9/2/2015";"jymand";7;5;3
"Ritz Restaurant";"9/1/2015";"7voyageur...";13;12;6
"Ritz Restaurant";"9/1/2015";"Sarelka";18;9;8
"Ritz Restaurant";"8/29/2015";"Arnfrid50...";8;5;0
"Ritz Restaurant";"8/26/2015";"Janie V";8;8;3
"Ritz Restaurant";"8/25/2015";"Carlo C";97;73;52
"Ritz Restaurant";"8/24/2015";"Thanh Bin...";1;0;2
"Ritz Restaurant";"8/22/2015";"LucasioLu...";10;6;4
"Ritz Restaurant";"8/21/2015";"Aleksandr...";2;0;0
"Ritz Restaurant";"8/19/2015";"Frank G";2;0;0
"Ritz Restaurant";"8/19/2015";"Andy9484";4;3;1
"Ritz Restaurant";"8/17/2015";"Marek P";14;3;10
"Ritz Restaurant";"8/13/2015";"Piotr R";1;0;2
"Ritz Restaurant";"8/10/2015";"Dieter K";2;0;2
"Ritz Restaurant";"8/9/2015";"Rosman23";10;8;16
"Ritz Restaurant";"8/9/2015";"Aneta N";2;0;3
"Ritz Restaurant";"8/3/2015";"Adam Z";2;0;0
"Ritz Restaurant";"8/2/2015";"Gosia P";1;0;0
"Ritz Restaurant";"8/2/2015";"Mateusz J";9;8;4
"Ritz Restaurant";"8/1/2015";"Agnieszka...";3;0;1
"Ritz Restaurant";"7/31/2015";"Trine T";2;0;0
"Ritz Restaurant";"7/29/2015";"Lidia K";2;0;0
"Ritz Restaurant";"7/25/2015";"Adam C";8;5;8
"Ritz Restaurant";"7/19/2015";"Rafal S";1;0;1
"Ritz Restaurant";"7/13/2015";"Mateusz L";1;0;1
"Ritz Restaurant";"7/10/2015";"Boguslaw...";11;6;3
"Ritz Restaurant";"7/8/2015";"krosno12";4;0;4
"Ritz Restaurant";"7/8/2015";"ukasz Z";3;3;3
"Ritz Restaurant";"7/7/2015";"ulla0309";1;0;0
"Ritz Restaurant";"6/19/2015";"Lech W";2;0;2
"Ritz Restaurant";"6/14/2015";"Pawe G";1;0;1
"Ritz Restaurant";"6/13/2015";"Aleksande...";4;3;3
"Ritz Restaurant";"6/3/2015";"JacekGd84";1;0;2
"Ritz Restaurant";"6/2/2015";"Azja505";1;0;1
"Ritz Restaurant";"5/26/2015";"biszek76";2;0;4
"Ritz Restaurant";"5/23/2015";"Valeduck";12;6;4
"Ritz Restaurant";"5/22/2015";"Izabela19...";12;12;2
"Ritz Restaurant";"5/12/2015";"Mariusz P";1;0;0
"Ritz Restaurant";"4/18/2015";"Arne J";15;8;7
"Ritz Restaurant";"4/12/2015";"ola a";1;0;2
"Ritz Restaurant";"3/25/2015";"Weronika...";1;0;1
"Ritz Restaurant";"3/23/2015";"Wojciech...";302;177;160
"Ritz Restaurant";"3/22/2015";"jasiek111...";95;56;22
"Ritz Restaurant";"3/18/2015";"Krzysztof...";1;0;1
"Ritz Restaurant";"3/4/2015";"Wojciech...";5;5;5
"Ritz Restaurant";"3/1/2015";"Beata B";12;7;6
"Ritz Restaurant";"2/23/2015";"Globtrote...";11;7;6
"Ritz Restaurant";"1/5/2015";"klarakota";17;12;13
"Ritz Restaurant";"12/11/2014";"polomka";10;9;3
"Ritz Restaurant";"12/4/2014";"Piotr C";1;0;3
"Ritz Restaurant";"10/28/2014";"mireklh";2;0;4
"Ritz Restaurant";"10/27/2014";"Anita T";2;0;3
"Ritz Restaurant";"10/25/2014";"115riker";2;0;3
"Ritz Restaurant";"10/24/2014";"Bart S";2;0;7
"Ritz Restaurant";"10/12/2014";"Arkadius...";1;0;3
"Ritz Restaurant";"10/11/2014";"Daniel B";7;6;4
"Ritz Restaurant";"9/30/2014";"cleopathr...";37;13;60
"Prologue Restaurant & Bar";"11/18/2015";"K143A";31;25;15
"Prologue Restaurant & Bar";"11/16/2015";"Maddawg01";59;19;25
"Prologue Restaurant & Bar";"11/14/2015";"Rose N";5;4;2
"Prologue Restaurant & Bar";"11/13/2015";"irishediger";2;0;1
"Prologue Restaurant & Bar";"11/12/2015";"eri_spelo";2;0;1
"Prologue Restaurant & Bar";"11/5/2015";"Michael P";44;23;48
"Prologue Restaurant & Bar";"10/29/2015";"Tori K";67;51;46
"Prologue Restaurant & Bar";"10/29/2015";"malcjones";12;4;25
"Prologue Restaurant & Bar";"10/29/2015";"Unni S";2;0;3
"Prologue Restaurant & Bar";"10/29/2015";"Nadia S";1;0;4
"Prologue Restaurant & Bar";"10/29/2015";"Thomas M";3;0;2
"Prologue Restaurant & Bar";"10/29/2015";"Leopold67";18;13;9
"Prologue Restaurant & Bar";"10/22/2015";"Mabe31";1;0;3
"Prologue Restaurant & Bar";"10/22/2015";"CarolineFryer";3;3;4
"Prologue Restaurant & Bar";"10/22/2015";"Kristian N";1;0;4
"Prologue Restaurant & Bar";"10/22/2015";"anniekdebakker";8;7;3
"Prologue Restaurant & Bar";"10/22/2015";"Sascha S";2;0;3
"Prologue Restaurant & Bar";"10/22/2015";"tony w";56;33;28
"Prologue Restaurant & Bar";"10/14/2015";"Geophysicsman";28;17;11
"Prologue Restaurant & Bar";"10/12/2015";"Taylordiva";12;8;7
"Prologue Restaurant & Bar";"10/8/2015";"Pine07";183;60;55
"Prologue Restaurant & Bar";"10/8/2015";"759quintend";1;0;2
"Prologue Restaurant & Bar";"10/8/2015";"Tiina P";1;0;1
"Prologue Restaurant & Bar";"10/6/2015";"jojimbo";182;95;101
"Prologue Restaurant & Bar";"10/4/2015";"telali2";90;51;60
"Prologue Restaurant & Bar";"9/30/2015";"Tony L";1;0;0
"Prologue Restaurant & Bar";"9/23/2015";"Alice E";7;4;7
"Prologue Restaurant & Bar";"9/19/2015";"Jakub P";7;7;15
"Prologue Restaurant & Bar";"9/18/2015";"smarsman";103;72;81
"Prologue Restaurant & Bar";"9/16/2015";"PlasmaMedia P";1;0;1
"Prologue Restaurant & Bar";"9/15/2015";"SuusjeEindhoven";11;4;5
"Prologue Restaurant & Bar";"9/15/2015";"elkabelka";173;105;106
"Prologue Restaurant & Bar";"9/15/2015";"Mikko T";18;16;4
"Prologue Restaurant & Bar";"9/14/2015";"designminkey";73;36;35
"Prologue Restaurant & Bar";"9/14/2015";"petervandenbroek2014";10;7;2
"Prologue Restaurant & Bar";"9/13/2015";"Jimmi_DK";20;15;23
"Prologue Restaurant & Bar";"9/13/2015";"Aaron H";1;0;2
"Prologue Restaurant & Bar";"9/4/2015";"BIBW";23;10;7
"Prologue Restaurant & Bar";"9/2/2015";"Claire F";2;0;6
"Prologue Restaurant & Bar";"8/31/2015";"beckyrolph";3;0;4
"Prologue Restaurant & Bar";"11/18/2015";"Emil91h";2;0;0
"Prologue Restaurant & Bar";"11/17/2015";"Marco T";33;25;53
"Prologue Restaurant & Bar";"11/16/2015";"nuriapimp...";77;49;56
"Prologue Restaurant & Bar";"11/16/2015";"Emma J";3;3;1
"Prologue Restaurant & Bar";"11/16/2015";"Jerzy A";13;12;5
"Prologue Restaurant & Bar";"11/12/2015";"z z";17;12;6
"Prologue Restaurant & Bar";"11/12/2015";"Tina A";6;3;1
"Prologue Restaurant & Bar";"11/12/2015";"Agnieszka...";3;0;1
"Prologue Restaurant & Bar";"11/12/2015";"Angielika...";1;0;0
"Prologue Restaurant & Bar";"11/12/2015";"Ewa Z";1;0;0
"Prologue Restaurant & Bar";"11/12/2015";"Elisabeth...";4;3;6
"Prologue Restaurant & Bar";"11/5/2015";"Morten L";1;0;1
"Prologue Restaurant & Bar";"11/5/2015";"ukasz L";2;0;1
"Prologue Restaurant & Bar";"11/5/2015";"lallabenn...";9;6;3
"Prologue Restaurant & Bar";"10/29/2015";"Trine F";5;3;2
"Prologue Restaurant & Bar";"10/29/2015";"jhq-4370";1;0;1
"Prologue Restaurant & Bar";"10/29/2015";"mosto78";1;0;0
"Prologue Restaurant & Bar";"10/29/2015";"arnteivin...";8;7;2
"Prologue Restaurant & Bar";"10/29/2015";"2Luigi";18;13;6
"Prologue Restaurant & Bar";"10/29/2015";"Ma R";34;18;16
"Prologue Restaurant & Bar";"10/22/2015";"Kristoffe...";7;4;5
"Prologue Restaurant & Bar";"10/22/2015";"PureAs";1;0;3
"Prologue Restaurant & Bar";"10/22/2015";"Pieprzowy";28;7;31
"Prologue Restaurant & Bar";"10/22/2015";"anna_glow...";8;8;20
"Prologue Restaurant & Bar";"10/22/2015";"Monika O";14;12;4
"Prologue Restaurant & Bar";"10/22/2015";"Pawe M";3;3;1
"Prologue Restaurant & Bar";"10/12/2015";"Benedicte...";1;0;1
"Prologue Restaurant & Bar";"10/6/2015";"Trude T";1;0;1
"Prologue Restaurant & Bar";"10/5/2015";"Pawe W";3;0;1
"Prologue Restaurant & Bar";"10/4/2015";"Krzysztof...";33;11;15
"Prologue Restaurant & Bar";"9/29/2015";"D B";1;0;1
"Prologue Restaurant & Bar";"9/29/2015";"Juanjo M";6;5;1
"Prologue Restaurant & Bar";"9/27/2015";"Oda111";11;6;2
"Prologue Restaurant & Bar";"9/26/2015";"Heidi J";1;0;1
"Prologue Restaurant & Bar";"9/26/2015";"Hannes D";1;0;1
"Prologue Restaurant & Bar";"9/26/2015";"Christine...";2;0;4
"Prologue Restaurant & Bar";"9/24/2015";"gwaram";10;10;7
"Prologue Restaurant & Bar";"9/22/2015";"Marc a";1;0;0
"Prologue Restaurant & Bar";"9/21/2015";"GKonovale...";179;62;105
"Prologue Restaurant & Bar";"9/21/2015";"pumse";1;0;0
"Prologue Restaurant & Bar";"9/20/2015";"Lars B";13;12;2
"Prologue Restaurant & Bar";"9/19/2015";"Anna S";17;15;12
"Prologue Restaurant & Bar";"9/18/2015";"Sandra G";4;3;2
"Prologue Restaurant & Bar";"9/17/2015";"parzy k";5;4;2
"Prologue Restaurant & Bar";"9/13/2015";"Geir S";5;5;2
"Prologue Restaurant & Bar";"9/13/2015";"Stanisaw...";1;0;3
"Prologue Restaurant & Bar";"9/11/2015";"Zofia S";20;14;15
"Prologue Restaurant & Bar";"9/11/2015";"MEZZE Syl...";1;0;2
"Prologue Restaurant & Bar";"9/10/2015";"Barsow S";8;5;2
"Prologue Restaurant & Bar";"9/9/2015";"tove134";1;0;2
"Prologue Restaurant & Bar";"9/9/2015";"Monika O";14;12;4
"Prologue Restaurant & Bar";"9/9/2015";"Piotr M";1;0;2
"Prologue Restaurant & Bar";"9/8/2015";"Agata C";1;0;2
"Prologue Restaurant & Bar";"9/8/2015";"Peter W";4;4;5
"Prologue Restaurant & Bar";"9/6/2015";"Gosia S";1;0;4
"Prologue Restaurant & Bar";"9/3/2015";"NazwaNieM...";5;5;3
"Prologue Restaurant & Bar";"9/2/2015";"Atle L";1;0;3
"Prologue Restaurant & Bar";"8/30/2015";"blossbook...";4;3;5
"Pierogarnia Mandu";"11/12/2015";"Jakub P";7;7;15
"Pierogarnia Mandu";"11/12/2015";"Wout V";27;11;4
"Pierogarnia Mandu";"10/29/2015";"EboracumYork";198;129;96
"Pierogarnia Mandu";"10/29/2015";"Artur G";19;8;9
"Pierogarnia Mandu";"10/22/2015";"anniekdebakker";8;7;3
"Pierogarnia Mandu";"10/22/2015";"WKNDWa";30;6;2
"Pierogarnia Mandu";"10/12/2015";"Celestine89";35;16;12
"Pierogarnia Mandu";"10/10/2015";"Jakub P";7;7;15
"Pierogarnia Mandu";"10/4/2015";"telali2";90;51;60
"Pierogarnia Mandu";"10/2/2015";"reichski";9;6;2
"Pierogarnia Mandu";"10/1/2015";"Chista N";72;32;66
"Pierogarnia Mandu";"10/1/2015";"lynnhurley";45;15;19
"Pierogarnia Mandu";"9/29/2015";"Stephen B";23;12;6
"Pierogarnia Mandu";"9/22/2015";"reisefantomet";10;5;2
"Pierogarnia Mandu";"9/20/2015";"Fielina1234";10;8;0
"Pierogarnia Mandu";"9/18/2015";"elkabelka";173;105;106
"Pierogarnia Mandu";"9/13/2015";"Maurice w";4;4;3
"Pierogarnia Mandu";"9/13/2015";"Alice L";18;13;2
"Pierogarnia Mandu";"9/12/2015";"Reneta N";4;3;1
"Pierogarnia Mandu";"9/10/2015";"Iirme";1;0;0
"Pierogarnia Mandu";"9/8/2015";"Justyna K";16;12;1
"Pierogarnia Mandu";"9/6/2015";"Al H";3;0;1
"Pierogarnia Mandu";"9/6/2015";"Piotr K";5;0;2
"Pierogarnia Mandu";"9/2/2015";"artsta";17;9;9
"Pierogarnia Mandu";"8/28/2015";"Andreea_C_Hristu";18;9;6
"Pierogarnia Mandu";"8/22/2015";"Paul S";5;4;4
"Pierogarnia Mandu";"8/22/2015";"DanimalBWI";59;52;27
"Pierogarnia Mandu";"8/3/2015";"Jose G";3;3;1
"Pierogarnia Mandu";"7/27/2015";"Stein S";11;9;2
"Pierogarnia Mandu";"7/26/2015";"Natalie C";14;7;1
"Pierogarnia Mandu";"7/25/2015";"Nadia X";39;16;15
"Pierogarnia Mandu";"7/22/2015";"29fabbe29 .";2;0;0
"Pierogarnia Mandu";"7/19/2015";"De K";16;7;7
"Pierogarnia Mandu";"7/9/2015";"krysti2014";6;4;2
"Pierogarnia Mandu";"7/7/2015";"thuy t";2;0;1
"Pierogarnia Mandu";"7/7/2015";"Tapio31";31;16;3
"Pierogarnia Mandu";"7/7/2015";"Ewa W";10;8;5
"Pierogarnia Mandu";"7/6/2015";"Domi N";8;6;4
"Pierogarnia Mandu";"7/5/2015";"Mateusz K";39;25;4
"Pierogarnia Mandu";"6/30/2015";"Jacek-Tomasz";8;5;3
"Pierogarnia Mandu";"6/30/2015";"Kefah A";22;11;5
"Pierogarnia Mandu";"6/28/2015";"TimTimTim87";4;4;1
"Pierogarnia Mandu";"6/26/2015";"Aykut I";1;0;0
"Pierogarnia Mandu";"6/22/2015";"jujitsu77";360;335;188
"Pierogarnia Mandu";"6/18/2015";"Zeke D";11;4;5
"Pierogarnia Mandu";"6/18/2015";"Noz1";7;6;9
"Pierogarnia Mandu";"6/16/2015";"Agata O";3;3;1
"Pierogarnia Mandu";"6/14/2015";"nmitsides1";91;62;54
"Pierogarnia Mandu";"6/9/2015";"marcowy";28;17;2
"Pierogarnia Mandu";"6/8/2015";"PiratesOf K";1;0;0
"Pierogarnia Mandu";"6/6/2015";"Alicja M";15;13;6
"Pierogarnia Mandu";"6/1/2015";"pawel_hbg";403;120;349
"Pierogarnia Mandu";"5/21/2015";"lordfarquart";2;0;4
"Pierogarnia Mandu";"5/21/2015";"Amy S";24;12;9
"Pierogarnia Mandu";"5/18/2015";"Ch-Henry";130;47;54
"Pierogarnia Mandu";"5/17/2015";"Ivana P";2;0;0
"Pierogarnia Mandu";"5/4/2015";"Cara L";12;10;5
"Pierogarnia Mandu";"5/3/2015";"shirleyandroman";2;0;0
"Pierogarnia Mandu";"4/28/2015";"garybasing";32;13;10
"Pierogarnia Mandu";"4/26/2015";"Oktawia B";2;0;0
"Pierogarnia Mandu";"4/24/2015";"Kasia Z";18;16;2
"Pierogarnia Mandu";"4/15/2015";"Tom H";20;17;9
"Pierogarnia Mandu";"4/5/2015";"Lucy N";6;4;6
"Pierogarnia Mandu";"3/17/2015";"MakaiTamas";6;4;3
"Pierogarnia Mandu";"3/14/2015";"Jasia P";5;5;1
"Pierogarnia Mandu";"3/8/2015";"Anssi M";9;8;6
"Pierogarnia Mandu";"2/19/2015";"James M";3;3;2
"Pierogarnia Mandu";"2/18/2015";"MC_657";110;59;46
"Pierogarnia Mandu";"1/26/2015";"Pola G";13;4;18
"Pierogarnia Mandu";"1/23/2015";"thearndt";145;65;76
"Pierogarnia Mandu";"1/22/2015";"Mbator";31;22;46
"Pierogarnia Mandu";"12/24/2014";"Dominik M";221;112;68
"Pierogarnia Mandu";"12/19/2014";"Asia F";1;0;0
"Pierogarnia Mandu";"12/1/2014";"Yasmina R";7;3;5
"Pierogarnia Mandu";"11/18/2014";"FrequentFlier100";19;6;12
"Pierogarnia Mandu";"11/12/2014";"Chista N";72;32;66
"Pierogarnia Mandu";"10/23/2014";"JacobVanders";2;0;2
"Pierogarnia Mandu";"10/15/2014";"GosiaKJ";37;25;13
"Pierogarnia Mandu";"8/26/2014";"stkarcz";38;14;10
"Pierogarnia Mandu";"11/16/2015";"Dominika...";2;0;0
"Pierogarnia Mandu";"11/14/2015";"Dorota M";2;0;0
"Pierogarnia Mandu";"11/12/2015";"Smakoszzz";12;11;0
"Pierogarnia Mandu";"11/12/2015";"SeMiGa";10;3;0
"Pierogarnia Mandu";"11/12/2015";"seboprzy";4;4;0
"Pierogarnia Mandu";"11/5/2015";"mgr6";18;12;2
"Pierogarnia Mandu";"11/5/2015";"450dr1967";1;0;0
"Pierogarnia Mandu";"11/5/2015";"Magda T";6;4;1
"Pierogarnia Mandu";"10/29/2015";"Daria S";1;0;0
"Pierogarnia Mandu";"10/29/2015";"Jenny T";2;0;0
"Pierogarnia Mandu";"10/29/2015";"bboczula";2;0;0
"Pierogarnia Mandu";"10/29/2015";"Maren H";5;3;4
"Pierogarnia Mandu";"10/29/2015";"JoannaGgg";2;0;0
"Pierogarnia Mandu";"10/29/2015";"siemadenm...";3;0;0
"Pierogarnia Mandu";"10/29/2015";"Monia70Ro...";11;3;1
"Pierogarnia Mandu";"10/22/2015";"Ania_Gral...";20;7;4
"Pierogarnia Mandu";"10/22/2015";"mgdansk";2;0;0
"Pierogarnia Mandu";"10/22/2015";"Sycyliana";45;21;8
"Pierogarnia Mandu";"10/22/2015";"pmalina6";23;17;9
"Pierogarnia Mandu";"10/22/2015";"Jarek82";13;6;19
"Pierogarnia Mandu";"10/15/2015";"Monika H";11;7;0
"Pierogarnia Mandu";"10/14/2015";"Hans v";7;6;1
"Pierogarnia Mandu";"10/8/2015";"Olga N";5;5;2
"Pierogarnia Mandu";"10/4/2015";"Agnieszka...";21;6;3
"Pierogarnia Mandu";"10/2/2015";"Aleksandr...";12;12;1
"Pierogarnia Mandu";"10/1/2015";"Zibi J";21;16;9
"Pierogarnia Mandu";"10/1/2015";"Dominika...";3;0;6
"Pierogarnia Mandu";"9/30/2015";"SuperFere...";14;12;2
"Pierogarnia Mandu";"9/27/2015";"kaja275";15;14;2
"Pierogarnia Mandu";"9/26/2015";"Julas K";1;0;3
"Pierogarnia Mandu";"9/26/2015";"Justyna W";2;0;1
"Pierogarnia Mandu";"9/25/2015";"Izabela S";5;4;0
"Pierogarnia Mandu";"9/23/2015";"karolkafe";4;0;0
"Pierogarnia Mandu";"9/17/2015";"Paolo N";16;8;5
"Pierogarnia Mandu";"9/15/2015";"Jitka F";8;7;0
"Pierogarnia Mandu";"9/15/2015";"sofieliza...";6;6;0
"Pierogarnia Mandu";"9/13/2015";"nooravag";8;5;3
"Pierogarnia Mandu";"9/13/2015";"SecretBlo...";12;10;6
"Pierogarnia Mandu";"9/12/2015";"w0jtunio";2;0;1
"Pierogarnia Mandu";"9/11/2015";"Adam K";3;3;0
"Pierogarnia Mandu";"9/10/2015";"Szymon L";18;10;4
"Pierogarnia Mandu";"9/9/2015";"Dorota H";13;0;0
"Pierogarnia Mandu";"9/9/2015";"IzaU2013";22;16;5
"Pierogarnia Mandu";"9/9/2015";"zwiatremw...";33;16;11
"Pierogarnia Mandu";"9/9/2015";"Bartosz K";6;5;1
"Pierogarnia Mandu";"9/7/2015";"Freeqy";1;0;0
"Pierogarnia Mandu";"9/7/2015";"Jakub S";2;0;0
"Pierogarnia Mandu";"9/5/2015";"david v";8;3;1
"Pierogarnia Mandu";"9/3/2015";"Krzysztof...";2;0;0
"Pierogarnia Mandu";"9/3/2015";"Karolina...";2;0;0
"Pierogarnia Mandu";"9/2/2015";"Kasia M";21;16;7
"Pierogarnia Mandu";"9/2/2015";"karolcia9...";35;10;3
"Pierogarnia Mandu";"9/1/2015";"Marcin S";7;6;3
"Pierogarnia Mandu";"9/1/2015";"Klaudia Z";15;10;3
"Pierogarnia Mandu";"8/31/2015";"Ola T";4;4;1
"Pierogarnia Mandu";"8/30/2015";"Agatanero...";16;12;8
"Pierogarnia Mandu";"8/30/2015";"Pah T";144;24;51
"Pierogarnia Mandu";"8/29/2015";"Damian199...";9;8;3
"Pierogarnia Mandu";"8/27/2015";"Monica C";7;3;4
"Pierogarnia Mandu";"8/27/2015";"juuulian";4;3;0
"Pierogarnia Mandu";"8/24/2015";"StefMilan...";154;82;74
"Pierogarnia Mandu";"8/23/2015";"Karolina...";3;0;1
"Pierogarnia Mandu";"8/23/2015";"Peppe L";39;31;9
"Pierogarnia Mandu";"8/22/2015";"Denis B";100;24;60
"Pierogarnia Mandu";"8/19/2015";"Kamil W";8;6;8
"Pierogarnia Mandu";"8/19/2015";"Monika_i...";4;0;4
"Pierogarnia Mandu";"8/17/2015";"Do R";4;3;0
"Pierogarnia Mandu";"8/17/2015";"NazwaNieM...";5;5;3
"Pierogarnia Mandu";"8/17/2015";"Marta N";26;25;5
"Pierogarnia Mandu";"8/15/2015";"Aleandro...";10;0;2
"Pierogarnia Mandu";"8/15/2015";"Karol B";2;0;0
"Pierogarnia Mandu";"8/13/2015";"Sebastian...";3;3;1
"Pierogarnia Mandu";"8/13/2015";"Cihan A";4;0;0
"Pierogarnia Mandu";"8/9/2015";"Mignonka";5;5;0
"Pierogarnia Mandu";"8/8/2015";"Szymon J";24;16;7
"Pierogarnia Mandu";"8/7/2015";"navigate1...";3;0;1
"Pierogarnia Mandu";"8/7/2015";"ANDRU S";4;4;2
"Pierogarnia Mandu";"8/5/2015";"Natalia L";29;21;2
"Pierogarnia Mandu";"8/1/2015";"Micha S";1;0;0
"Pierogarnia Mandu";"7/31/2015";"67jac";1;0;0
"Pierogarnia Mandu";"7/30/2015";"Vlad870";64;40;8
"Pierogarnia Mandu";"7/28/2015";"hofander";6;4;1
"Pierogarnia Mandu";"7/27/2015";"Krystian...";2;0;0
"Pierogarnia Mandu";"7/26/2015";"Krzysztof...";1;0;0
"Pierogarnia Mandu";"7/25/2015";"olciaik";3;0;1
"Pierogarnia Mandu";"7/22/2015";"Lena H";2;0;0
"Pierogarnia Mandu";"7/21/2015";"To Ja S";3;3;1
"Pierogarnia Mandu";"7/18/2015";"Karorzech";2;0;0
